country,total_cases,total_deaths,death_rate_%,population
Yemen,11945,2159,18.07,31154867
Sudan,63993,5046,7.89,45992020
Syrian Arab Republic,57743,3165,5.48,19364809
Somalia,27334,1361,4.98,16841795
Peru,4572667,222161,4.86,33684208
Egypt,516023,24613,4.77,106156692
Mexico,7702809,334958,4.35,131562772
Bosnia,403615,16388,4.06,3249317
Afghanistan,234174,7996,3.41,40754388
Ecuador,1070188,36043,3.37,18113361
Myanmar,641873,19495,3.04,55227143
Malawi,89535,2686,3.0,20180839
Gambia,12626,372,2.95,2558482
Bulgaria,1339851,38748,2.89,6844597
Macedonia,350567,9976,2.85,2081304
Tunisia,1153361,29423,2.55,12046656
Algeria,272010,6881,2.53,45350148
South Africa,4076463,102595,2.52,60756135
Sri Lanka,672754,16897,2.51,21575842
Haiti,34667,860,2.48,11680283
