country,total_cases,total_deaths,total_recovered,active_cases,death_rate_%,recovery_rate_%
USA,111820082,1219487,109814428,786167,1.09,98.21
India,45035393,533570,0,44501823,1.18,0.0
France,40138560,167642,39970918,0,0.42,99.58
Germany,38828995,183027,38240600,405368,0.47,98.48
Brazil,38743918,711380,36249161,1783377,1.84,93.56
S. Korea,34571873,35934,34535939,0,0.1,99.9
Japan,33803572,74694,0,33728878,0.22,0.0
Italy,26723249,196487,26361218,165544,0.74,98.65
UK,24910387,232112,24678275,0,0.93,99.07
Russia,24124215,402756,23545818,175641,1.67,97.6
Turkey,17232066,102174,0,17129892,0.59,0.0
Spain,13914811,121760,13762417,30634,0.88,98.9
Australia,11853144,24414,11820014,8716,0.21,99.72
Vietnam,11625195,43206,10640971,941018,0.37,91.53
Taiwan,10241523,19005,10222518,0,0.19,99.81
Argentina,10128845,130841,9997258,746,1.29,98.7
Netherlands,8635786,22992,8612599,195,0.27,99.73
Mexico,7702809,334958,6899865,467986,4.35,89.58
Iran,7627186,146811,0,7480375,1.92,0.0
Indonesia,6829221,162063,6647104,20054,2.37,97.33
